mode_name,model_variant,dataset_variant,group,num_examples,accuracy,precision,recall,f1,avg_latency_ms,avg_confidence,cache_hits,cache_hit_rate,model_calls,tp,fp,fn,tn
balanced,Model A,test,MISSING,3134,0.9454,0.8076,0.7907,0.7991,80.432,0.1414,0,0.0,3134,340,81,90,2623
balanced,Model A,test,illegal acts,441,1.0,1.0,1.0,1.0,53.097,0.9997,0,0.0,441,441,0,0,0
balanced,Model A,test,adversarial_harmful,397,0.9723,1.0,0.9723,0.986,55.698,0.9572,0,0.0,397,386,0,11,0
balanced,Model A,test,"hate speech, discrimination and vulgar language",397,1.0,1.0,1.0,1.0,56.709,0.9997,0,0.0,397,397,0,0,0
balanced,Model A,test,peaceful_tech,97,1.0,1.0,1.0,1.0,78.158,0.9997,0,0.0,97,97,0,0,0
balanced,Model A,test,privacy attacks,75,1.0,1.0,1.0,1.0,53.126,0.9997,0,0.0,75,75,0,0,0
balanced,Model A,test,weapon,58,1.0,1.0,1.0,1.0,90.082,0.9997,0,0.0,58,58,0,0,0
balanced,Model A,mutated_data,MISSING,5259,0.6134,0.2531,0.8712,0.3922,38.327,0.4849,0,0.0,5259,656,1936,97,2570
balanced,Model A,mutated_data,illegal acts,1062,0.9153,1.0,0.9153,0.9558,37.717,0.8933,0,0.0,1062,972,0,90,0
balanced,Model A,mutated_data,adversarial_harmful,1011,0.9505,1.0,0.9505,0.9746,41.639,0.9342,0,0.0,1011,961,0,50,0
balanced,Model A,mutated_data,"hate speech, discrimination and vulgar language",945,0.8413,1.0,0.8413,0.9138,37.891,0.8123,0,0.0,945,795,0,150,0
balanced,Model A,mutated_data,privacy attacks,174,0.9655,1.0,0.9655,0.9825,36.611,0.9358,0,0.0,174,168,0,6,0
balanced,Model A,mutated_data,NSFW,138,0.6957,1.0,0.6957,0.8205,37.282,0.6845,0,0.0,138,96,0,42,0
balanced,Model A,mutated_data,peaceful_tech,117,0.7521,1.0,0.7521,0.8585,40.457,0.761,0,0.0,117,88,0,29,0
balanced,Model A,mutated_data,adversarial_benign,66,0.3939,0.0,0.0,0.0,43.744,0.6194,0,0.0,66,0,40,0,26
